"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","question_order","key_press","stim","corrresp","phase","stimNum","type","trialNum","corr","repeatTrial","motorSwitch","pracCounter"
"388","","1560777","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","76","img/motor_8.png","76","motor","8","color","444","1","0","0",""
"null","","1560886","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"459","","1561354","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","74","img/motor_6.png","74","motor","6","color","445","1","0","0",""
"null","","1561462","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"380","","1561850","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","65","img/motor_1.png","65","motor","1","color","446","1","0","0",""
"null","","1561959","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"434","","1562401","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","70","img/motor_4.png","70","motor","4","color","447","1","0","0",""
"null","","1562517","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_4.png","70","motor","","","","","","",""
"403","","1562930","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","72","img/motor_5.png","72","motor","5","color","448","1","0","0",""
"null","","1563045","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"467","","1563522","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","70","img/motor_4.png","70","motor","4","color","449","1","0","0",""
"null","","1563637","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_4.png","70","motor","","","","","","",""
"468","","1564113","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","83","img/motor_2.png","83","motor","2","color","450","1","0","0",""
"null","","1564228","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"436","","1564672","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","83","img/motor_2.png","83","motor","2","color","451","1","0","0",""
"null","","1564788","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"444","","1565241","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","70","img/motor_4.png","70","motor","4","color","452","1","0","0",""
"null","","1565350","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_4.png","70","motor","","","","","","",""
"323","","1565682","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","70","img/motor_4.png","70","motor","4","color","453","1","0","0",""
