id,group_id,task_type,block,trial,stim_type,stim_index,resp_index,correct,good_timing,t_proposed_prep,t_prep,missed_stim_deadline
6,6,forced,8,77,learn,2,3,0,1,0.500,0.560,0
6,6,forced,8,78,learn,6,4,0,0,1,0.893,0
6,6,forced,8,79,learn,7,5,0,1,0.300,0.341,0
6,6,forced,8,80,learn,5,7,0,1,0.300,0.212,0
6,6,forced,8,81,learn,8,8,1,1,0.600,0.529,0
6,6,forced,8,82,learn,8,8,1,1,0.700,0.659,0
6,6,forced,8,83,learn,6,7,0,0,0.400,0.570,0
6,6,forced,8,84,learn,8,8,1,1,0.900,0.902,0
6,6,forced,8,85,learn,7,7,0,0,0.300,0.510,0
6,6,forced,8,86,learn,4,4,1,1,1,1.044,0
6,6,forced,8,87,learn,2,5,0,0,0.200,0.506,0
6,6,forced,8,88,learn,3,2,0,0,0.100,0.563,0
6,6,forced,8,89,learn,1,3,0,1,0.200,0.166,0
6,6,forced,8,90,learn,3,3,0,0,0.300,0.484,0
6,6,forced,8,91,learn,6,6,1,1,0.800,0.874,0
6,6,forced,8,92,learn,1,3,0,0,0.700,0.954,0
6,6,forced,8,93,learn,2,4,0,0,0.100,0.293,0
6,6,forced,8,94,learn,4,4,1,1,0.600,0.657,0
6,6,forced,8,95,learn,2,2,1,1,0.700,0.759,0
6,6,forced,8,96,learn,4,4,1,1,0.700,0.779,0
6,6,forced,9,1,learn,7,4,0,0,0.300,0.435,0
6,6,forced,9,2,learn,8,8,1,1,0.800,0.819,0
6,6,forced,9,3,learn,5,7,0,1,0.800,0.886,0
6,6,forced,9,4,learn,2,6,0,0,0.400,0.536,0
6,6,forced,9,5,learn,5,4,0,1,0.100,0.170,0
6,6,forced,9,6,learn,1,1,1,1,0.800,0.819,0
6,6,forced,9,7,learn,4,4,0,0,0.300,0.642,0
6,6,forced,9,8,learn,8,8,0,0,0.900,1.008,0
6,6,forced,9,9,learn,7,6,0,0,0.200,0.566,0
6,6,forced,9,10,learn,8,8,0,0,0.100,0.423,0
6,6,forced,9,11,learn,5,7,0,0,0.400,0.507,0
6,6,forced,9,12,learn,7,7,1,1,1,0.910,0
6,6,forced,9,13,learn,6,6,0,0,0.300,0.515,0
6,6,forced,9,14,learn,5,5,1,1,0.500,0.449,0
6,6,forced,9,15,learn,2,2,0,0,1.100,1.216,0
6,6,forced,9,16,learn,2,2,1,1,1.100,1.043,0
6,6,forced,9,17,learn,7,4,0,1,0.600,0.545,0
6,6,forced,9,18,learn,2,2,0,0,1.200,1.017,0
6,6,forced,9,19,learn,6,6,1,1,0.900,0.966,0
6,6,forced,9,20,learn,1,1,0,0,0.500,0.624,0
6,6,forced,9,21,learn,7,3,0,0,1,0.871,0
6,6,forced,9,22,learn,7,6,0,1,0.400,0.392,0
6,6,forced,9,23,learn,2,2,0,0,0.200,0.456,0
6,6,forced,9,24,learn,7,6,0,1,1.100,1.149,0
6,6,forced,9,25,learn,1,1,1,1,1.200,1.131,0
6,6,forced,9,26,learn,2,2,0,0,0.300,0.199,0
