"rt","time_elapsed","subject","subID","group","day","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy","responses"
"540","632864","HierDyjz7vkxeh","sub13","01","1","motor","75","img/motor_7.png","75","motor","7","164","1","0","0","","",""
"null","632971","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"557","633536","HierDyjz7vkxeh","sub13","01","1","motor","70","img/motor_4.png","70","motor","4","165","1","0","0","","",""
"null","633645","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"382","634034","HierDyjz7vkxeh","sub13","01","1","motor","76","img/motor_8.png","76","motor","8","166","1","0","0","","",""
"null","634143","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"504","634655","HierDyjz7vkxeh","sub13","01","1","motor","74","img/motor_7.png","75","motor","7","167","0","1","0","","",""
"430","635094","HierDyjz7vkxeh","sub13","01","1","motorRepeat","75","img/motor_7.png","75","motor","7","167","1","0","0","","",""
"null","635201","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"435","635644","HierDyjz7vkxeh","sub13","01","1","motor","83","img/motor_2.png","83","motor","2","168","1","0","0","","",""
"null","635752","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"651","636412","HierDyjz7vkxeh","sub13","01","1","motor","74","img/motor_6.png","74","motor","6","169","1","0","0","","",""
"null","636521","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"406","636934","HierDyjz7vkxeh","sub13","01","1","motor","68","img/motor_2.png","83","motor","2","170","0","1","0","","",""
"375","637318","HierDyjz7vkxeh","sub13","01","1","motorRepeat","83","img/motor_2.png","83","motor","2","170","1","0","0","","",""
"null","637427","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"657","638093","HierDyjz7vkxeh","sub13","01","1","motor","75","img/motor_7.png","75","motor","7","171","1","0","0","","",""
"null","638201","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
