rt,time_elapsed,subject,subID,group,day,trialType,key_press,stim,corrresp,phase,stimNum,trialNum,corr,repeatTrial,motorSwitch,pracCounter,hierarchy,responses
427,654833,HierDy3zhkyz9e,sub03,3,1,motor,83,img/motor_2.png,83,motor,2,169,1,0,0,,,
null,654942,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_2.png,83,motor,,,,,,,,
600,655552,HierDy3zhkyz9e,sub03,3,1,motor,75,img/motor_6.png,74,motor,6,170,0,1,0,,,
377,655937,HierDy3zhkyz9e,sub03,3,1,motorRepeat,74,img/motor_6.png,74,motor,6,170,1,0,0,,,
null,656045,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_6.png,74,motor,,,,,,,,
2734,658788,HierDy3zhkyz9e,sub03,3,1,motor,68,img/motor_3.png,68,motor,3,171,1,0,0,,,
null,658899,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_3.png,68,motor,,,,,,,,
441,659349,HierDy3zhkyz9e,sub03,3,1,motor,70,img/motor_4.png,70,motor,4,172,1,0,0,,,
null,659460,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_4.png,70,motor,,,,,,,,
2189,661658,HierDy3zhkyz9e,sub03,3,1,motor,72,img/motor_5.png,72,motor,5,173,1,0,0,,,
null,661768,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_5.png,72,motor,,,,,,,,
602,662380,HierDy3zhkyz9e,sub03,3,1,motor,70,img/motor_4.png,70,motor,4,174,1,0,0,,,
null,662490,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_4.png,70,motor,,,,,,,,
487,662986,HierDy3zhkyz9e,sub03,3,1,motor,65,img/motor_1.png,65,motor,1,175,1,0,0,,,
null,663095,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_1.png,65,motor,,,,,,,,
977,664082,HierDy3zhkyz9e,sub03,3,1,motor,72,img/motor_5.png,72,motor,5,176,1,0,0,,,
null,664192,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_5.png,72,motor,,,,,,,,
451,664654,HierDy3zhkyz9e,sub03,3,1,motor,72,img/motor_5.png,72,motor,5,177,1,0,0,,,
null,664765,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_5.png,72,motor,,,,,,,,
759,665534,HierDy3zhkyz9e,sub03,3,1,motor,68,img/motor_3.png,68,motor,3,178,1,0,0,,,
null,665645,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_3.png,68,motor,,,,,,,,
504,666159,HierDy3zhkyz9e,sub03,3,1,motor,72,img/motor_5.png,72,motor,5,179,1,0,0,,,
null,666270,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_5.png,72,motor,,,,,,,,
