"rt","time_elapsed","subject","subID","group","day","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","hierarchy","responses"
"504","151463","HierDywwo7grap","02","02","8","motor","83","img/motor_2.png","83","motor","2","95","1","0","0","",""
"null","151573","HierDywwo7grap","02","02","8","iti","null","img/motor_2.png","83","motor","","","","","","",""
"513","152096","HierDywwo7grap","02","02","8","motor","68","img/motor_3.png","68","motor","3","96","1","0","0","",""
"null","152206","HierDywwo7grap","02","02","8","iti","null","img/motor_3.png","68","motor","","","","","","",""
"538","152753","HierDywwo7grap","02","02","8","motor","75","img/motor_7.png","75","motor","7","97","1","0","0","",""
"null","152863","HierDywwo7grap","02","02","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"388","153260","HierDywwo7grap","02","02","8","motor","76","img/motor_8.png","76","motor","8","98","1","0","0","",""
"null","153371","HierDywwo7grap","02","02","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"337","153718","HierDywwo7grap","02","02","8","motor","76","img/motor_8.png","76","motor","8","99","1","0","0","",""
"null","153830","HierDywwo7grap","02","02","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"552","154392","HierDywwo7grap","02","02","8","motor","75","img/motor_7.png","75","motor","7","100","1","0","0","",""
"null","154500","HierDywwo7grap","02","02","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"507","155016","HierDywwo7grap","02","02","8","motor","70","img/motor_4.png","70","motor","4","101","1","0","0","",""
"null","155126","HierDywwo7grap","02","02","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"415","155551","HierDywwo7grap","02","02","8","motor","76","img/motor_8.png","76","motor","8","102","1","0","0","",""
"null","155663","HierDywwo7grap","02","02","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"532","156205","HierDywwo7grap","02","02","8","motor","72","img/motor_5.png","72","motor","5","103","1","0","0","",""
"null","156315","HierDywwo7grap","02","02","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"511","156836","HierDywwo7grap","02","02","8","motor","70","img/motor_4.png","70","motor","4","104","1","0","0","",""
"null","156947","HierDywwo7grap","02","02","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"348","157302","HierDywwo7grap","02","02","8","motor","70","img/motor_4.png","70","motor","4","105","1","0","0","",""
