"rt","time_elapsed","subject","subID","group","day","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy","responses"
"null","2716668","HierDy55os536l","sub08","08","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"499","2717174","HierDy55os536l","sub08","08","1","motor","65","img/motor_1.png","65","motor","1","89","1","0","0","","",""
"null","2717283","HierDy55os536l","sub08","08","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"437","2717727","HierDy55os536l","sub08","08","1","motor","70","img/motor_4.png","70","motor","4","90","1","0","0","","",""
"null","2717838","HierDy55os536l","sub08","08","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"499","2718347","HierDy55os536l","sub08","08","1","motor","72","img/motor_5.png","72","motor","5","91","1","0","0","","",""
"null","2718458","HierDy55os536l","sub08","08","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"437","2718904","HierDy55os536l","sub08","08","1","motor","76","img/motor_8.png","76","motor","8","92","1","0","0","","",""
"null","2719013","HierDy55os536l","sub08","08","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"707","2719731","HierDy55os536l","sub08","08","1","motor","74","img/motor_6.png","74","motor","6","93","1","0","0","","",""
"null","2719841","HierDy55os536l","sub08","08","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"521","2720371","HierDy55os536l","sub08","08","1","motor","83","img/motor_2.png","83","motor","2","94","1","0","0","","",""
"null","2720482","HierDy55os536l","sub08","08","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"596","2721088","HierDy55os536l","sub08","08","1","motor","75","img/motor_6.png","74","motor","6","95","0","1","0","","",""
"277","2721375","HierDy55os536l","sub08","08","1","motorRepeat","74","img/motor_6.png","74","motor","6","95","1","0","0","","",""
"null","2721487","HierDy55os536l","sub08","08","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"570","2722066","HierDy55os536l","sub08","08","1","motor","70","img/motor_4.png","70","motor","4","96","1","0","0","","",""
"null","2722178","HierDy55os536l","sub08","08","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"648","2722836","HierDy55os536l","sub08","08","1","motor","74","img/motor_6.png","74","motor","6","97","1","0","0","","",""
"null","2722947","HierDy55os536l","sub08","08","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"595","2723552","HierDy55os536l","sub08","08","1","motor","68","img/motor_3.png","68","motor","3","98","1","0","0","","",""
"null","2723663","HierDy55os536l","sub08","08","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"562","2724235","HierDy55os536l","sub08","08","1","motor","68","img/motor_3.png","68","motor","3","99","1","0","0","","",""
"null","2724347","HierDy55os536l","sub08","08","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"548","2724905","HierDy55os536l","sub08","08","1","motor","72","img/motor_5.png","72","motor","5","100","1","0","0","","",""
"null","2725016","HierDy55os536l","sub08","08","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"444","2725470","HierDy55os536l","sub08","08","1","motor","65","img/motor_1.png","65","motor","1","101","1","0","0","","",""
"null","2725582","HierDy55os536l","sub08","08","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"657","2726248","HierDy55os536l","sub08","08","1","motor","74","img/motor_6.png","74","motor","6","102","1","0","0","","",""
"null","2726360","HierDy55os536l","sub08","08","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"462","2726832","HierDy55os536l","sub08","08","1","motor","68","img/motor_4.png","70","motor","4","103","0","1","0","","",""
"281","2727123","HierDy55os536l","sub08","08","1","motorRepeat","70","img/motor_4.png","70","motor","4","103","1","0","0","","",""
"null","2727233","HierDy55os536l","sub08","08","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"457","2727698","HierDy55os536l","sub08","08","1","motor","68","img/motor_3.png","68","motor","3","104","1","0","0","","",""
"null","2727810","HierDy55os536l","sub08","08","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"466","2728283","HierDy55os536l","sub08","08","1","motor","76","img/motor_8.png","76","motor","8","105","1","0","0","","",""
"null","2728395","HierDy55os536l","sub08","08","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"666","2729069","HierDy55os536l","sub08","08","1","motor","74","img/motor_6.png","74","motor","6","106","1","0","0","","",""
"null","2729178","HierDy55os536l","sub08","08","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"435","2729623","HierDy55os536l","sub08","08","1","motor","72","img/motor_4.png","70","motor","4","107","0","1","0","","",""
"279","2729912","HierDy55os536l","sub08","08","1","motorRepeat","70","img/motor_4.png","70","motor","4","107","1","0","0","","",""
"null","2730022","HierDy55os536l","sub08","08","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"479","2730511","HierDy55os536l","sub08","08","1","motor","72","img/motor_5.png","72","motor","5","108","1","0","0","","",""
"null","2730620","HierDy55os536l","sub08","08","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"467","2731097","HierDy55os536l","sub08","08","1","motor","74","img/motor_6.png","74","motor","6","109","1","0","0","","",""
"null","2731208","HierDy55os536l","sub08","08","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"528","2731744","HierDy55os536l","sub08","08","1","motor","70","img/motor_4.png","70","motor","4","110","1","0","0","","",""
"null","2731853","HierDy55os536l","sub08","08","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"468","2732333","HierDy55os536l","sub08","08","1","motor","74","img/motor_6.png","74","motor","6","111","1","0","0","","",""
"null","2732443","HierDy55os536l","sub08","08","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"476","2732929","HierDy55os536l","sub08","08","1","motor","75","img/motor_7.png","75","motor","7","112","1","0","0","","",""
"null","2733037","HierDy55os536l","sub08","08","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"481","2733526","HierDy55os536l","sub08","08","1","motor","70","img/motor_4.png","70","motor","4","113","1","0","0","","",""
"null","2733635","HierDy55os536l","sub08","08","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"474","2734119","HierDy55os536l","sub08","08","1","motor","72","img/motor_5.png","72","motor","5","114","1","0","0","","",""
"null","2734229","HierDy55os536l","sub08","08","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"440","2734678","HierDy55os536l","sub08","08","1","motor","76","img/motor_8.png","76","motor","8","115","1","0","0","","",""
"null","2734788","HierDy55os536l","sub08","08","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"625","2735424","HierDy55os536l","sub08","08","1","motor","83","img/motor_2.png","83","motor","2","116","1","0","0","","",""
"null","2735533","HierDy55os536l","sub08","08","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
