"","subject","group","taskType","block","trial","phase","stim","resp","corr","timing","PT_planned","PT_actual","missed_stim_deadline","iter","hand","couplet","handSwitch","coupletSwitch","fingerSwitch","handSwitch_actual","coupletSwitch_actual","fingerSwitch_actual","respHand","respCouplet","corrHand","corrCouplet","corrresp","trialNum","rt","PT_actual_bins","PT_planned_bins","combinedType","treeDistance","corrresp_prev","nFeatureSwitch","errorType","corrFinger","errorType2","includeLearn","timing_chill"
"26810","8",2,"forced",10,41,"learn",2,1,0,1,0.5,0.469,0,68,"L",1,0,0,1,0,0,1,"L",1,1,1,2,41,-0.031,"3","4","rep/rep/sw","2",1,1,"1/1/0",0,"1/1/0",1,1
"26811","8",2,"forced",10,42,"learn",7,6,0,1,1,0.966,0,59,"R",2,1,1,1,1,0,1,"R",1,1,0,7,42,-0.034,"10","8","sw/rep/sw","6",2,1,"1/0/0",0,"1/0/0",1,1
"26812","8",2,"forced",10,43,"learn",4,4,1,1,0.4,0.386,0,72,"L",2,1,0,1,1,1,1,"L",2,1,1,4,43,-0.014,"2","3","sw/sw/sw","6",7,2,"1/1/1",1,"1/1/1",1,1
"26813","8",2,"forced",10,44,"learn",6,4,0,1,0.8,0.727,0,62,"R",1,1,1,1,0,0,0,"L",2,0,0,6,44,-0.0730000000000001,"7","6","rep/rep/rep","0",4,2,"0/0/0",1,"0/0/1",1,1
"26814","8",2,"forced",10,45,"learn",2,2,1,1,0.5,0.468,0,69,"L",1,1,0,1,0,1,1,"L",1,1,1,2,45,-0.032,"3","4","rep/sw/sw","4",6,3,"1/1/1",1,"1/1/1",1,1
"26815","8",2,"forced",10,46,"learn",2,2,1,0,0.9,0.778,0,70,"L",1,0,0,0,0,0,0,"L",1,1,1,2,46,-0.122,"7","7","rep/rep/rep","0",2,0,"1/1/1",1,"1/1/1",1,1
"26816","8",2,"forced",10,47,"learn",5,6,0,1,0.8,0.709,0,63,"R",1,1,0,1,1,0,1,"R",1,1,1,5,47,-0.0910000000000001,"6","6","sw/rep/sw","6",2,2,"1/1/0",0,"1/1/0",1,1
"26817","8",2,"forced",10,48,"learn",3,2,0,1,0.4,0.473,0,70,"L",2,1,1,1,1,0,1,"L",1,1,0,3,48,0.073,"3","3","sw/rep/sw","6",5,2,"1/0/0",0,"1/0/0",1,1
"26818","8",2,"forced",10,49,"learn",5,8,0,0,0.8,0.187,0,64,"R",1,1,1,1,1,1,1,"R",2,1,0,5,49,-0.613,"1","6","sw/sw/sw","6",3,2,"1/0/0",0,"1/0/0",1,NA
"26819","8",2,"forced",10,50,"learn",2,2,1,1,1.1,1.034,0,71,"L",1,1,0,1,1,1,1,"L",1,1,1,2,50,-0.0660000000000001,"10","9","sw/sw/sw","6",5,2,"1/1/1",1,"1/1/1",1,1
"26820","8",2,"forced",10,51,"learn",2,6,0,1,0.2,0.14,0,72,"L",1,0,0,0,1,0,1,"R",1,0,1,2,51,-0.06,"1","1","sw/rep/sw","6",2,0,"0/1/0",1,"0/1/1",1,1
"26821","8",2,"forced",10,52,"learn",3,3,1,1,1.1,1.001,0,71,"L",2,0,1,1,1,1,1,"L",2,1,1,3,52,-0.0990000000000002,"10","9","sw/sw/sw","6",2,2,"1/1/1",1,"1/1/1",1,1
"26822","8",2,"forced",10,53,"learn",1,2,0,1,0.5,0.534,0,64,"L",1,0,1,1,0,1,1,"L",1,1,1,1,53,0.034,"4","4","rep/sw/sw","4",3,1,"1/1/0",0,"1/1/0",1,1
"26823","8",2,"forced",10,54,"learn",1,1,1,0,0.9,0.778,0,65,"L",1,0,0,0,0,0,1,"L",1,1,1,1,54,-0.122,"7","7","rep/rep/sw","2",1,0,"1/1/1",1,"1/1/1",1,1
"26824","8",2,"forced",10,55,"learn",7,7,1,0,1,0.824,0,60,"R",2,1,1,1,1,1,1,"R",2,1,1,7,55,-0.176,"8","8","sw/sw/sw","6",1,2,"1/1/1",1,"1/1/1",1,1
"26825","8",2,"forced",10,56,"learn",8,8,1,1,0.5,0.481,0,70,"R",2,0,0,1,0,0,1,"R",2,1,1,8,56,-0.019,"3","4","rep/rep/sw","2",7,1,"1/1/1",1,"1/1/1",1,1
