"rt","time_elapsed","subject","subID","group","day","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","hierarchy","responses"
"651","513487","HierDyvc8ryfj5","01","01","8","rl","75","img/b_s_dots.png","68","test","3","90","0","","","color,shape,pattern",""
"null","514501","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","90","","","","",""
"483","514997","HierDyvc8ryfj5","01","01","8","rl","68","img/b_s_dots.png","68","test","3","91","1","","","color,shape,pattern",""
"null","516010","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","91","","","","",""
"599","516624","HierDyvc8ryfj5","01","01","8","rl","70","img/b_s_stripes.png","70","test","4","92","1","","","color,shape,pattern",""
"null","517638","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","92","","","","",""
"872","518523","HierDyvc8ryfj5","01","01","8","rl","74","img/r_c_stripes.png","74","test","6","93","1","","","color,shape,pattern",""
"null","519534","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","93","","","","",""
"696","520241","HierDyvc8ryfj5","01","01","8","rl","65","img/b_c_dots.png","65","test","1","94","1","","","color,shape,pattern",""
"null","521256","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","94","","","","",""
"893","522162","HierDyvc8ryfj5","01","01","8","rl","75","img/r_c_stripes.png","74","test","6","95","0","","","color,shape,pattern",""
"null","523175","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","95","","","","",""
"883","524070","HierDyvc8ryfj5","01","01","8","rl","83","img/b_c_stripes.png","83","test","2","96","1","","","color,shape,pattern",""
"null","525083","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","96","","","","",""
"707","525801","HierDyvc8ryfj5","01","01","8","rl","65","img/r_c_dots.png","72","test","5","97","0","","","color,shape,pattern",""
"null","526814","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","97","","","","",""
"551","527376","HierDyvc8ryfj5","01","01","8","rl","70","img/r_s_stripes.png","76","test","8","98","0","","","color,shape,pattern",""
"null","528389","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","98","","","","",""
"507","528909","HierDyvc8ryfj5","01","01","8","rl","70","img/b_s_stripes.png","70","test","4","99","1","","","color,shape,pattern",""
"null","529921","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","99","","","","",""
"337","530269","HierDyvc8ryfj5","01","01","8","rl","65","img/b_c_dots.png","65","test","1","100","1","","","color,shape,pattern",""
"null","531282","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","100","","","","",""
"860","532151","HierDyvc8ryfj5","01","01","8","rl","83","img/b_c_stripes.png","83","test","2","101","1","","","color,shape,pattern",""
"null","533164","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","101","","","","",""
"1064","534239","HierDyvc8ryfj5","01","01","8","rl","68","img/b_s_dots.png","68","test","3","102","1","","","color,shape,pattern",""
"null","535252","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","102","","","","",""
"768","536028","HierDyvc8ryfj5","01","01","8","rl","75","img/r_s_dots.png","75","test","7","103","1","","","color,shape,pattern",""
"null","537040","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","103","","","","",""
"606","537657","HierDyvc8ryfj5","01","01","8","rl","70","img/r_s_stripes.png","76","test","8","104","0","","","color,shape,pattern",""
"null","538668","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","104","","","","",""
"759","539438","HierDyvc8ryfj5","01","01","8","rl","65","img/r_c_dots.png","72","test","5","105","0","","","color,shape,pattern",""
"null","540451","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","105","","","","",""
"1294","541757","HierDyvc8ryfj5","01","01","8","rl","75","img/r_s_dots.png","75","test","7","106","1","","","color,shape,pattern",""
"null","542768","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","106","","","","",""
"936","543715","HierDyvc8ryfj5","01","01","8","rl","72","img/r_c_dots.png","72","test","5","107","1","","","color,shape,pattern",""
"null","544727","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","107","","","","",""
"667","545405","HierDyvc8ryfj5","01","01","8","rl","76","img/r_s_stripes.png","76","test","8","108","1","","","color,shape,pattern",""
"null","546418","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","108","","","","",""
