"","subject","group","taskType","block","trial","phase","stim","resp","corr","timing","PT_planned","PT_actual","missed_stim_deadline","day","iter","hand","couplet","handSwitch","coupletSwitch","fingerSwitch","handSwitch_actual","coupletSwitch_actual","fingerSwitch_actual","respHand","respCouplet","corrHand","corrCouplet","corrresp","trialNum","rt","PT_actual_bins","PT_planned_bins","combinedType","treeDistance","corrresp_prev","nFeatureSwitch","errorType","corrFinger","errorType2","includeLearn","timing_chill"
"6101","sub27",3,"forced",6,29,"learn",1,1,1,0,0.1,0.416,0,8,16,"L",1,0,0,1,0,1,1,"L",1,1,1,1,29,0.316,"2","1","rep/sw/sw","4",2,1,"1/1/1",1,"1/1/1",1,NA
"6102","sub27",3,"forced",6,30,"learn",5,5,1,0,0.3,0.526,0,8,19,"R",1,1,0,1,1,0,1,"R",1,1,1,5,30,0.226,"4","2","sw/rep/sw","6",1,3,"1/1/1",1,"1/1/1",1,1
"6103","sub27",3,"forced",6,31,"learn",5,5,1,0,0.2,0.385,0,8,20,"R",1,0,0,0,0,0,0,"R",1,1,1,5,31,0.185,"2","1","rep/rep/rep","0",5,0,"1/1/1",1,"1/1/1",1,1
"6104","sub27",3,"forced",6,32,"learn",2,3,0,0,0.1,0.506,0,8,13,"L",1,1,0,1,1,1,1,"L",2,1,0,2,32,0.406,"3","1","sw/sw/sw","6",5,2,"1/0/0",0,"1/0/0",1,NA
"6105","sub27",3,"forced",6,33,"learn",1,1,1,1,1.2,1.18,0,8,17,"L",1,0,0,1,0,1,1,"L",1,1,1,1,33,-0.02,"12","10","rep/sw/sw","4",2,1,"1/1/1",1,"1/1/1",1,1
"6106","sub27",3,"forced",6,34,"learn",2,2,1,1,0.6,0.549,0,8,14,"L",1,0,0,1,0,0,1,"L",1,1,1,2,34,-0.0509999999999999,"4","5","rep/rep/sw","2",1,1,"1/1/1",1,"1/1/1",1,1
"6107","sub27",3,"forced",6,35,"learn",5,5,1,1,1.2,1.129,0,8,21,"R",1,1,0,1,1,0,1,"R",1,1,1,5,35,-0.071,"11","10","sw/rep/sw","6",2,2,"1/1/1",1,"1/1/1",1,1
"6108","sub27",3,"forced",6,36,"learn",4,4,1,1,1,0.931,0,8,18,"L",2,1,1,1,1,1,1,"L",2,1,1,4,36,-0.069,"9","8","sw/sw/sw","6",5,1,"1/1/1",1,"1/1/1",1,1
"6109","sub27",3,"forced",6,37,"learn",6,6,1,0,0.1,0.681,0,8,16,"R",1,1,1,1,1,1,1,"R",1,1,1,6,37,0.581,"6","1","sw/sw/sw","6",4,2,"1/1/1",1,"1/1/1",1,NA
"6110","sub27",3,"forced",6,38,"learn",2,2,1,0,0.3,0.504,0,8,15,"L",1,1,0,1,1,0,1,"L",1,1,1,2,38,0.204,"3","2","sw/rep/sw","6",6,3,"1/1/1",1,"1/1/1",1,1
